19,17,26,27,28,12,10,39,18,32,16,42,19,28,45,27,27
34,44,18,48,36,20,38,34,27,13,36,25,21,24,36,24,50
32,29,30,31,47,46,24,29,36,14,34,11,30,26,38,48,22
44,49,26,17,29,34,32,32,36,28,16,10,48,42,17,23,43
25,33,27,39,44,15,34,43,18,23,50,28,17,24,31,24,28
21,30,41,37,35,13,30,28,17,15,38,34,34,36,29,27,48
14,48,13,16,25,18,25,22,35,22,28,23,42,48,12,26,23
15,11,48,29,23,41,31,44,20,50,46,8,49,43,29,37,10
50,37,38,31,11,25,21,33,26,19,25,47,23,49,37,12,22
50,10,29,16,32,44,18,31,49,16,42,48,47,18,50,45,39
33,27,16,19,49,38,39,44,20,43,22,23,24,26,21,22,11
32,42,39,28,50,28,27,32,15,21,24,29,21,12,28,24,45
31,43,21,26,26,37,41,44,43,21,31,33,22,37,19,29,21
13,39,34,41,26,20,18,38,28,10,33,18,47,37,37,50,37
29,18,21,35,44,47,27,50,12,29,35,22,36,11,18,27,10
49,19,23,12,34,32,15,42,27,16,40,46,16,31,23,16,10
48,38,15,25,20,13,15,16,48,34,19,34,26,26,27,42,29
12,31,32,40,42,28,19,45,18,11,45,20,39,43,25,42,33
17,18,39,15,27,24,43,44,50,25,18,25,43,32,28,31,32
44,37,35,29,26,19,37,47,26,33,18,34,33,17,25,13,10
21,35,12,24,22,18,38,18,20,34,44,34,37,28,25,43,37
23,13,37,44,31,15,45,45,47,42,39,10,14,20,33,28,48
36,15,10,17,37,26,40,16,30,16,18,42,24,30,29,17,23
49,34,12,50,32,30,23,40,36,50,23,34,15,10,44,40,30
22,36,26,13,15,50,11,15,34,33,48,40,34,44,26,42,31
47,10,20,23,19,31,30,11,18,23,35,44,17,48,36,24,19
46,35,44,18,48,20,13,38,25,32,27,39,33,34,32,22,40
33,16,16,43,12,35,48,16,17,43,11,33,13,11,13,50,22
